pair,treatment,reference
1,0.15,0.17
2,0.19,0.26
3,0.47,0.46
4,0.11,0.01
5,0.62,0.65
6,0.73,0.96
7,0.31,0.29
8,0.14,0.15
9,0.25,0.59
10,0.15,0.22
11,0.49,0.58
12,0.72,0.68
13,0.51,0.58
14,0.07,0.26
15,0.34,0.31
16,0.73,0.72
17,0.8,0.94
18,0.14,0.02
19,0.03,0.19
20,0.22,0.19
21,0.04,0.1
22,0.41,0.47
23,0.34,0.4
24,0.38,0.64
25,0.48,0.52
26,0.15,0
27,0.19,0.24
28,0.76,0.9
29,0.34,0.29
30,0.31,0.47
31,0.47,0.59
32,0.61,0.75
33,0.52,0.41
34,0.45,0.43
35,0.46,0.56
36,0.21,0.03
37,0.15,0.21
38,0.67,0.8
39,0.27,0.27
40,0.03,0.01
